,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,log10padj,category
ENSRNOG00000048949,404.7615096,1.894319472,0.141310654,13.40535492,5.63E-41,8.54E-37,36.06840686,Upregulated
ENSRNOG00000027016,817.5551268,1.218714238,0.094692317,12.8702547,6.62E-38,5.03E-34,33.29883656,Upregulated
ENSRNOG00000014152,334.4711425,1.599315028,0.134659089,11.87676995,1.56E-32,7.91E-29,28.10174489,Upregulated
ENSRNOG00000003262,537.5891069,-1.170781997,0.104169665,-11.2391837,2.62E-29,9.94E-26,25.0026605,Downregulated
ENSRNOG00000025164,733.5130232,-1.523690576,0.143877254,-10.59021164,3.31E-26,1.00E-22,21.99790469,Downregulated
ENSRNOG00000024460,660.0578479,1.556579565,0.148443692,10.48599333,1.00E-25,2.54E-22,21.59589526,Upregulated
ENSRNOG00000059799,899.982254,-0.914371388,0.087823635,-10.41145003,2.20E-25,4.77E-22,21.32153378,Insignficant/Low
ENSRNOG00000010468,130.5981942,2.054492886,0.197801908,10.38661814,2.85E-25,5.42E-22,21.26636017,Upregulated
ENSRNOG00000007256,251.9290947,3.15616972,0.306363809,10.30203186,6.90E-25,1.16E-21,20.93402245,Upregulated
ENSRNOG00000052971,112.0030613,1.908152609,0.19102193,9.989180881,1.70E-23,2.35E-20,19.62955013,Upregulated
ENSRNOG00000025502,270.9579828,1.375830263,0.137607812,9.998198835,1.55E-23,2.35E-20,19.62955013,Upregulated
ENSRNOG00000004964,504.2335095,1.69476963,0.171708241,9.870054126,5.61E-23,7.10E-20,19.14850945,Upregulated
ENSRNOG00000018969,381.7269806,1.091989573,0.112587073,9.699067086,3.04E-22,3.55E-19,18.44924382,Upregulated
ENSRNOG00000012864,1927.254614,1.131095954,0.118051779,9.581354561,9.58E-22,1.04E-18,17.983408,Upregulated
ENSRNOG00000022523,4277.83742,1.015168482,0.107347598,9.456834649,3.17E-21,3.21E-18,17.49303254,Upregulated
ENSRNOG00000010771,2976.894098,0.950810175,0.102968788,9.233964931,2.61E-20,2.48E-17,16.60637697,Insignficant/Low
ENSRNOG00000001431,4910.451609,1.170336765,0.13180608,8.879231987,6.73E-19,6.01E-16,15.22083839,Upregulated
ENSRNOG00000016780,481.9007379,1.282382044,0.14456926,8.870364578,7.29E-19,6.15E-16,15.21106098,Upregulated
ENSRNOG00000010748,1487.321498,1.306626938,0.148021406,8.827283654,1.07E-18,8.57E-16,15.06691874,Upregulated
ENSRNOG00000020811,3476.412817,1.019217733,0.117395973,8.681879828,3.89E-18,2.96E-15,14.52932383,Upregulated
ENSRNOG00000010967,1791.560398,0.811264679,0.095440564,8.500208384,1.89E-17,1.37E-14,13.86373851,Insignficant/Low
ENSRNOG00000011133,264.2666486,1.09430816,0.132357816,8.267801568,1.36E-16,9.42E-14,13.02600016,Upregulated
ENSRNOG00000043186,232.0359749,2.151839153,0.260968405,8.245592614,1.64E-16,1.09E-13,12.96453143,Upregulated
ENSRNOG00000010918,860.3815585,1.033351383,0.125668601,8.22282874,1.99E-16,1.26E-13,12.900442,Upregulated
ENSRNOG00000007587,760.5657464,1.487191995,0.181061542,8.213737597,2.14E-16,1.30E-13,12.88525593,Upregulated
ENSRNOG00000002338,1269.129611,0.835685964,0.102449688,8.15703767,3.43E-16,2.01E-13,12.69780386,Insignficant/Low
ENSRNOG00000005882,854.7193622,0.941970085,0.115723995,8.139799227,3.96E-16,2.23E-13,12.65229767,Insignficant/Low
ENSRNOG00000019791,1268.294868,1.037026142,0.127512663,8.13273068,4.20E-16,2.28E-13,12.6427483,Upregulated
ENSRNOG00000008996,2964.190426,0.743208831,0.09181512,8.094623535,5.74E-16,2.99E-13,12.52495177,Insignficant/Low
ENSRNOG00000017113,1639.752807,0.697073691,0.08614995,8.091399817,5.90E-16,2.99E-13,12.52495177,Insignficant/Low
ENSRNOG00000001484,853.6446508,1.809469704,0.224783791,8.049822868,8.29E-16,4.06E-13,12.3912907,Upregulated
ENSRNOG00000010744,1444.791616,-0.920858139,0.115415455,-7.978638058,1.48E-15,7.02E-13,12.15357184,Insignficant/Low
ENSRNOG00000000036,3208.461828,0.694611863,0.087803392,7.910991236,2.55E-15,1.18E-12,11.92993892,Insignficant/Low
ENSRNOG00000005043,394.9197411,1.273226394,0.16149611,7.883944633,3.17E-15,1.42E-12,11.84869566,Upregulated
ENSRNOG00000017084,60.98764877,2.717824228,0.345579426,7.864542913,3.70E-15,1.61E-12,11.79389789,Upregulated
ENSRNOG00000029980,107.4513478,3.056585133,0.38984643,7.840485112,4.49E-15,1.89E-12,11.72279741,Upregulated
ENSRNOG00000046959,421.5008136,-0.970992109,0.124953054,-7.770855361,7.80E-15,3.20E-12,11.49489832,Insignficant/Low
ENSRNOG00000015117,384.8600256,1.903619278,0.246347919,7.7273609,1.10E-14,4.39E-12,11.35774168,Upregulated
ENSRNOG00000053679,289.9919564,1.801903146,0.235962821,7.636385841,2.23E-14,8.70E-12,11.06052996,Upregulated
ENSRNOG00000014668,837.8219961,0.732114165,0.096324174,7.60052364,2.95E-14,1.12E-11,10.95089046,Insignficant/Low
ENSRNOG00000016971,783.460305,0.818022971,0.10790815,7.580733928,3.44E-14,1.27E-11,10.8952802,Insignficant/Low
ENSRNOG00000003872,853.4165354,0.933890413,0.125489118,7.442003164,9.92E-14,3.59E-11,10.44542625,Insignficant/Low
ENSRNOG00000011623,1067.255873,1.297915842,0.174849008,7.423066642,1.14E-13,4.04E-11,10.39345041,Upregulated
ENSRNOG00000030017,2015.84449,0.696956093,0.095789906,7.275882423,3.44E-13,1.19E-10,9.925244785,Insignficant/Low
ENSRNOG00000046565,191.9805625,1.420494302,0.196817132,7.217330551,5.30E-13,1.79E-10,9.747345814,Upregulated
ENSRNOG00000030475,187.7895194,1.488193887,0.208464012,7.138852746,9.41E-13,3.11E-10,9.507664418,Upregulated
ENSRNOG00000017414,240.4063691,-1.432801724,0.201059773,-7.126247591,1.03E-12,3.33E-10,9.47721843,Downregulated
ENSRNOG00000004006,951.0783696,-0.835824665,0.118682671,-7.042516488,1.89E-12,5.85E-10,9.232754178,Insignficant/Low
ENSRNOG00000010643,588.6891037,-0.594738194,0.084425191,-7.044558432,1.86E-12,5.85E-10,9.232754178,Insignficant/Low
ENSRNOG00000029449,637.4651135,1.038709256,0.147627313,7.036023594,1.98E-12,6.01E-10,9.221292728,Upregulated
ENSRNOG00000032942,1301.063781,0.699118449,0.100913941,6.927867859,4.27E-12,1.27E-09,8.895464519,Insignficant/Low
ENSRNOG00000005392,540.0135628,-1.31712038,0.19134934,-6.88332856,5.85E-12,1.71E-09,8.767627182,Downregulated
ENSRNOG00000054549,4069.502101,0.609034521,0.088860652,6.853815556,7.19E-12,2.06E-09,8.686068657,Insignficant/Low
ENSRNOG00000010386,284.7128011,-0.924464676,0.135247833,-6.83533818,8.18E-12,2.30E-09,8.638134412,Insignficant/Low
ENSRNOG00000008659,1894.789111,0.636938535,0.093249661,6.830464867,8.46E-12,2.34E-09,8.631344119,Insignficant/Low
ENSRNOG00000059322,28.39320938,3.25697197,0.47719927,6.825182217,8.78E-12,2.38E-09,8.62318195,Upregulated
ENSRNOG00000004846,3770.366662,0.693748418,0.101793488,6.815253422,9.41E-12,2.50E-09,8.602761392,Insignficant/Low
ENSRNOG00000000648,4066.215693,0.735462185,0.10794373,6.813384956,9.53E-12,2.50E-09,8.602761392,Insignficant/Low
ENSRNOG00000003359,2964.870854,0.596132061,0.088845201,6.709783461,1.95E-11,5.02E-09,8.299566835,Insignficant/Low
ENSRNOG00000012480,507.9528553,-0.768387889,0.115194206,-6.670369277,2.55E-11,6.46E-09,8.189894298,Insignficant/Low
ENSRNOG00000019568,1305.424573,-0.447610548,0.067414457,-6.639681876,3.14E-11,7.83E-09,8.106457932,Insignficant/Low
ENSRNOG00000006435,2701.624393,0.520354718,0.078460006,6.632101426,3.31E-11,8.11E-09,8.091197671,Insignficant/Low
ENSRNOG00000004169,662.4927773,-0.719376046,0.108548788,-6.627214013,3.42E-11,8.25E-09,8.083767553,Insignficant/Low
ENSRNOG00000004377,576.5059979,1.326095011,0.200384041,6.617767588,3.65E-11,8.65E-09,8.062844002,Upregulated
ENSRNOG00000053230,732.2824688,-0.557173621,0.084391945,-6.602213306,4.05E-11,9.46E-09,8.023946196,Insignficant/Low
ENSRNOG00000002036,2118.739433,0.504761066,0.076561146,6.592914218,4.31E-11,9.92E-09,8.003345456,Insignficant/Low
ENSRNOG00000008666,2838.224837,0.604582544,0.092126002,6.562561372,5.29E-11,1.20E-08,7.921247495,Insignficant/Low
ENSRNOG00000004171,2430.849542,0.637614616,0.097361201,6.548960078,5.79E-11,1.29E-08,7.888093652,Insignficant/Low
ENSRNOG00000008797,3209.011835,-0.524634151,0.080176964,-6.543452442,6.01E-11,1.32E-08,7.878425679,Insignficant/Low
ENSRNOG00000005917,327.2062198,-0.92431566,0.14130462,-6.541298205,6.10E-11,1.32E-08,7.878416768,Insignficant/Low
