"","K543R.bam","K544R.bam","K545L.bam","K546R.bam","V541L.bam","V542L.bam","V548L.bam","V550L.bam"
"ENSRNOG00000046319",18,12,26,27,7,5,17,13
"ENSRNOG00000047964",2,0,0,1,0,0,0,0
"ENSRNOG00000050370",15,23,30,36,11,10,15,23
"ENSRNOG00000032365",2,0,0,1,0,0,0,0
"ENSRNOG00000040300",0,3,4,0,1,0,5,0
"ENSRNOG00000058808",3,0,0,0,0,0,1,0
"ENSRNOG00000061316",9,7,3,8,1,10,8,16
"ENSRNOG00000050129",0,0,0,0,0,0,0,0
"ENSRNOG00000040316",2,3,4,1,1,2,6,2
"ENSRNOG00000023659",0,1,0,0,0,0,4,0
"ENSRNOG00000029897",26,44,37,61,20,27,32,23
"ENSRNOG00000042852",0,0,0,0,0,0,0,0
"ENSRNOG00000061806",0,0,0,0,0,0,0,0
"ENSRNOG00000055877",0,0,0,0,0,0,0,0
"ENSRNOG00000014303",4987,5846,4920,5175,4621,5347,5707,6819
"ENSRNOG00000051899",7,11,2,7,6,4,4,10
"ENSRNOG00000014330",892,1108,832,830,839,813,927,1068
"ENSRNOG00000049505",263,356,285,315,360,291,387,381
"ENSRNOG00000014916",2908,3573,2802,3278,2374,2777,3204,3321
"ENSRNOG00000014996",393,484,385,392,397,400,484,522
"ENSRNOG00000015239",1516,1801,1592,1675,1548,1476,1583,1883
"ENSRNOG00000055508",0,0,2,3,1,0,1,0
"ENSRNOG00000053710",0,0,0,0,0,0,0,0
"ENSRNOG00000015552",761,856,795,846,793,741,802,919
"ENSRNOG00000016041",1,0,0,0,0,0,0,1
"ENSRNOG00000016054",1318,1684,1370,1666,1280,1465,1766,1797
"ENSRNOG00000016381",27,45,20,25,16,65,52,17
"ENSRNOG00000054005",0,0,0,0,0,0,0,0
"ENSRNOG00000059137",0,0,0,0,0,0,0,0
"ENSRNOG00000013160",728,1147,937,961,689,695,735,736
"ENSRNOG00000052788",0,0,0,0,0,0,0,0
"ENSRNOG00000023549",41,57,60,78,16,25,32,68
"ENSRNOG00000031859",0,0,0,0,0,0,0,0
"ENSRNOG00000013351",1336,1613,1206,1308,1433,1384,1563,1823
"ENSRNOG00000061755",0,0,0,0,0,0,0,0
"ENSRNOG00000053182",0,0,0,0,0,0,0,0
"ENSRNOG00000042741",1295,1516,1343,1423,1585,975,1356,1322
"ENSRNOG00000014258",1,5,1,6,3,1,2,2
"ENSRNOG00000057302",0,0,0,0,0,0,0,0
"ENSRNOG00000014290",88,97,86,99,76,83,125,140
"ENSRNOG00000041566",0,0,0,0,0,0,0,0
"ENSRNOG00000014431",0,0,0,0,0,0,0,0
"ENSRNOG00000014450",850,1204,962,1276,969,1067,1145,1182
"ENSRNOG00000014852",394,602,471,570,459,494,557,627
"ENSRNOG00000052274",0,0,0,0,0,0,0,0
"ENSRNOG00000040242",84,65,69,81,19,41,40,55
"ENSRNOG00000054906",0,0,0,0,0,0,0,0
"ENSRNOG00000058048",0,0,0,0,0,0,0,0
"ENSRNOG00000051844",0,0,0,0,0,0,0,0
"ENSRNOG00000053880",0,0,0,0,0,0,0,0
"ENSRNOG00000011058",2975,2993,2610,2554,2550,2168,2293,2507
"ENSRNOG00000014902",1,5,3,6,6,30,6,16
"ENSRNOG00000014908",877,1065,938,1213,1028,860,946,1120
"ENSRNOG00000036310",0,0,0,0,0,0,0,0
"ENSRNOG00000025587",7,5,3,7,3,12,3,10
"ENSRNOG00000042705",1,5,1,4,2,3,3,2
"ENSRNOG00000043188",0,0,0,0,0,0,0,0
"ENSRNOG00000015217",1008,1213,767,1014,1019,897,873,1074
"ENSRNOG00000015473",208,259,203,215,105,165,162,207
"ENSRNOG00000015551",1215,1501,1416,2116,1044,1113,1459,2039
"ENSRNOG00000015660",433,595,423,589,453,490,509,709
"ENSRNOG00000046983",42,83,47,71,45,54,45,75
"ENSRNOG00000016624",0,3,4,0,1,0,1,1
"ENSRNOG00000010753",664,839,546,686,704,702,777,899
"ENSRNOG00000011015",1020,910,615,566,573,760,946,1171
"ENSRNOG00000011399",4,14,7,13,4,9,13,9
"ENSRNOG00000011411",34,43,65,65,23,12,17,14
"ENSRNOG00000011540",811,848,812,957,936,799,1018,1104
"ENSRNOG00000012092",3,1,0,1,1,0,2,0
"ENSRNOG00000012103",6,2,1,4,1,1,3,2
"ENSRNOG00000059930",0,0,0,0,0,0,0,0
"ENSRNOG00000059032",0,0,0,0,0,0,0,0
"ENSRNOG00000056005",0,0,0,0,0,0,0,0
"ENSRNOG00000055342",0,0,0,0,0,0,0,0
"ENSRNOG00000047798",0,0,0,0,0,0,0,0
"ENSRNOG00000059769",0,0,0,0,0,0,0,0
"ENSRNOG00000047193",0,0,0,0,0,0,0,0
"ENSRNOG00000060990",186,233,159,167,226,192,184,174
"ENSRNOG00000058425",21,22,30,17,15,15,19,21
"ENSRNOG00000055421",0,0,0,0,0,0,0,0
"ENSRNOG00000051831",42,32,35,42,48,2,53,73
"ENSRNOG00000052007",0,0,0,0,0,0,0,2
"ENSRNOG00000061685",0,0,0,0,0,0,0,1
"ENSRNOG00000047746",8817,10774,7037,11061,11252,1561,13210,11110
"ENSRNOG00000053888",57,48,50,63,62,6,70,121
"ENSRNOG00000055836",793,552,538,884,783,6,997,804
"ENSRNOG00000060657",794,530,539,889,786,6,992,804
"ENSRNOG00000059898",180,189,140,181,158,188,199,225
"ENSRNOG00000055789",3,7,0,3,6,4,3,0
"ENSRNOG00000062232",0,0,0,0,0,0,0,0
"ENSRNOG00000055660",0,0,0,0,0,0,0,0
"ENSRNOG00000060284",0,0,0,0,0,0,0,0
"ENSRNOG00000056019",0,0,0,0,0,0,0,0
"ENSRNOG00000059861",0,0,0,0,0,0,0,0
"ENSRNOG00000056940",850,1177,816,1046,1034,863,1136,1345
"ENSRNOG00000055972",152,213,224,282,171,144,139,144
"ENSRNOG00000060021",2,4,2,3,0,5,4,0
"ENSRNOG00000060610",0,0,0,0,0,0,0,0
"ENSRNOG00000060972",1208,1435,1349,1380,1061,1049,1418,1273
"ENSRNOG00000051450",700,786,552,727,776,703,809,874
"ENSRNOG00000059224",772,854,751,779,814,678,837,845
"ENSRNOG00000055142",140,133,153,138,131,111,108,116
"ENSRNOG00000052189",0,4,1,1,5,2,3,4
"ENSRNOG00000053331",0,1,0,0,0,0,0,0
"ENSRNOG00000053347",140,139,124,159,110,64,92,97
"ENSRNOG00000059393",1,0,0,0,0,0,0,1
"ENSRNOG00000060603",63,64,64,76,100,86,119,98
"ENSRNOG00000053735",76,101,62,66,104,85,93,104
"ENSRNOG00000053184",0,0,0,1,0,0,1,0
"ENSRNOG00000011460",1542,1650,1763,1841,577,1143,1274,1535
"ENSRNOG00000025799",0,0,0,0,0,0,0,0
"ENSRNOG00000011994",2815,3693,3249,3317,3226,3032,3934,3609
"ENSRNOG00000049517",40,66,70,69,68,125,98,102
"ENSRNOG00000058088",0,0,0,0,0,0,0,0
"ENSRNOG00000054373",0,0,0,0,0,0,0,0
"ENSRNOG00000012057",0,0,0,0,0,0,0,0
"ENSRNOG00000053291",0,0,0,0,0,0,0,0
"ENSRNOG00000012074",467,629,456,598,595,465,606,771
"ENSRNOG00000012259",0,0,0,0,0,0,0,0
"ENSRNOG00000012286",1242,1527,1272,1742,520,312,540,1001
"ENSRNOG00000057719",0,2,0,0,0,0,0,0
"ENSRNOG00000012311",1248,1783,1223,1142,1260,1273,971,761
"ENSRNOG00000012322",234,275,281,303,248,233,260,286
"ENSRNOG00000031700",454,496,400,433,394,398,460,364
"ENSRNOG00000054452",2,3,0,1,0,1,3,3
"ENSRNOG00000012701",2408,2431,2169,2289,1856,1898,1919,1981
"ENSRNOG00000053505",0,0,0,0,0,0,0,0
"ENSRNOG00000058050",3375,3781,3308,3174,3219,3392,4010,4199
"ENSRNOG00000013436",52,66,39,48,51,52,57,88
